projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
Sonai Clara,UNDER_CONSTRUCTION,2BHK,714.0,7624000,1.0,8,UNFURNISHED,Chandraprabha corner,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",412099,sonai-clara-brtlinkrd-ravet-pune-029297,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025375-8c1c881fc556c580.jpg
Sonai Clara,UNDER_CONSTRUCTION,3BHK,954.0,9900000,2.0,3,UNFURNISHED,Chandraprabha corner,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",412099,sonai-clara-brtlinkrd-ravet-pune-029297,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025375-6d208dc15b1ffe3b.jpg
Sonai Clara,UNDER_CONSTRUCTION,3BHK,973.0,11000000,2.0,3,UNFURNISHED,Chandraprabha corner,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",412099,sonai-clara-brtlinkrd-ravet-pune-029297,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757507025386-cd046b94df0f53d9.jpg
Santiago Skytown,UNDER_CONSTRUCTION,2BHK,767.0,784300000,1.0,2,UNFURNISHED,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",412101,santiago-skytown-vikasnagar-ravet-pune-632333,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627511-94d95f7bbb80de8a.jpg
Santiago Skytown,UNDER_CONSTRUCTION,2BHK,786.0,8037000,1.0,2,UNFURNISHED,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",412101,santiago-skytown-vikasnagar-ravet-pune-632333,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627511-b25862c0a7c41854.jpg
Santiago Skytown,UNDER_CONSTRUCTION,3BHK,1017.0,13900000,2.0,3,UNFURNISHED,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",412101,santiago-skytown-vikasnagar-ravet-pune-632333,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757508627516-8e8d34b349402165.jpg
The silver altair ,UNDER_CONSTRUCTION,2BHK,880.0,8409000,4.0,1,UNFURNISHED,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",412101,the-silver-altair--pcmc-ravet-pune-945470,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935799-56e60e5d51f758f8.jpg
The silver altair ,UNDER_CONSTRUCTION,2BHK,921.0,8885000,1.0,2,UNFURNISHED,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",412101,the-silver-altair--pcmc-ravet-pune-945470,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935801-62f8a4e2e69af1fb.jpg
The silver altair ,UNDER_CONSTRUCTION,3BHK,1048.0,11000000,2.0,3,UNFURNISHED,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",412101,the-silver-altair--pcmc-ravet-pune-945470,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757509935801-e3046c3165cb6a9a.jpg
testing,READY_TO_MOVE,5BHK,9.79,10088000,8.0,8,UNFURNISHED,sdfgb,asdfgh,123456,testing-modelcolony-shivajinagar-pune-301013,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758174783708-6bab276d8a2b3207.jpg
testing,READY_TO_MOVE,2BHK,9.0,980000000,987.0,99,SEMI_FURNISHED,sdfgb,asdfgh,123456,testing-modelcolony-shivajinagar-pune-301013,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758174963753-1d59b6ee8bc63eff.jpg
testing,READY_TO_MOVE,2BHK,3.0,120000000,2.0,10,UNFURNISHED,sdfgb,asdfgh,123456,testing-modelcolony-shivajinagar-pune-301013,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758175122464-bb8651e2ee2d0642.png
